Date	SST	U	AirT	Humidity	CC	Prec	SWR	inflow	thermD	MLD	W	Bloom
2016-09-05	16.905333333333335	4.278375	12.723333333333334	89.0	0.5083333333333333	0.0	434.8	0.872	-20.75	-21.0	0.0140055562530119	1
2016-09-06	16.785333333333334	5.106125	15.051666666666668	74.54166666666667	0.4708333333333334	0.0	592.8	0.8180000000000001	-20.75	-21.0	0.0209770812163597	0
2016-09-07	16.815166666666666	5.811625	18.25208333333333	74.04166666666667	0.3833333333333333	0.0	575.7	0.768	-20.75	-21.0	0.0159294752958505	0
2016-09-08	17.022333333333332	1.852833333333333	14.572916666666666	80.375	0.1875	0.0	562.4	0.722	-20.75	-21.0	0.0181856779216637	0
2016-09-09	16.922166666666666	2.594875	15.328333333333331	89.41666666666667	0.8125	0.0	511.9	0.6799999999999999	-20.75	-21.0	1.3279150647395517	0
2016-09-10	17.15233333333333	3.608416666666667	17.345	82.41666666666667	0.6124999999999999	0.0	589.2	0.641	-20.75	-7.496945534131657	0.3345111375247257	0
2016-09-11	17.337166666666665	3.455416666666667	17.2625	83.70833333333333	0.6875	0.0	500.8	0.604	-20.75	-7.428986887023121	0.4160347205629871	0
2016-09-12	17.219213485717773	2.577208333333333	15.65	83.08333333333333	0.35	0.0	539.3	0.5700000000000001	-8.0224	-6.966017733915916	0.5334064102553909	0
2016-09-13	17.5035	2.317083333333333	15.061666666666667	88.75	0.4791666666666667	0.0	479.6	0.538	-8.9883	-8.063622528992354	1.514760910475668	0
2016-09-14	17.379	1.3222083333333334	15.084166666666668	86.29166666666667	0.1458333333333333	0.0	502.5	0.509	-9.1221	-7.215936681283208	1.5018965540792086	0
2016-09-15	17.331302642822266	2.797916666666667	14.90875	89.54166666666667	0.65	0.0	448.7	0.481	-1.2953	-7.244575901109432	4.721276541208336	0
2016-09-16	17.284664154052734	3.5269166666666667	12.452916666666669	81.41666666666667	0.2833333333333333	0.0	503.0	0.455	-8.5904	-7.508041511017161	1.0713068086904252	0
2016-09-17	16.829666666666665	1.9415	11.225	87.16666666666667	0.3	0.0	550.9	0.432	-20.75	-11.72780749579966	0.9315852897924798	0
2016-09-18	16.765419006347656	1.0355416666666668	9.922916666666667	85.70833333333333	0.4083333333333334	0.0	498.0	0.408	-20.75	-14.53729062753096	1.0873888708128685	0
2016-09-19	16.6825	1.51025	12.849583333333332	88.5	0.7541666666666668	0.0	441.6	0.388	-20.75	-21.0	1.5720574335688169	0
2016-09-20	16.635833333333334	1.999833333333333	13.205416666666666	86.83333333333333	0.7083333333333334	0.0	393.0	0.368	-20.75	-21.0	0.8867632530693853	0
2016-09-21	16.510166666666667	1.5287916666666668	12.646666666666668	89.25	0.3458333333333334	0.2	504.7	0.349	-20.75	-7.742104790755536	0.3010881394806614	0
2016-09-22	16.347166666666666	2.9738333333333333	11.947916666666666	87.95833333333333	0.8416666666666667	0.0	371.5	0.333	-20.75	-21.0	0.6691529144678923	0
2016-09-23	16.217	2.1745	11.100833333333334	86.5	1.0	1.2	272.8	0.317	-20.75	-21.0	0.0379802668131191	0
2016-09-24	16.0955	1.8925	11.957083333333332	89.54166666666667	0.8333333333333334	0.0	397.6	0.302	-20.75	-21.0	0.0940487006822212	0
2016-09-25	16.03494644165039	3.6187083333333336	13.712083333333332	84.79166666666667	0.725	0.0	467.4	0.288	-20.75	-21.0	0.0654876495292784	0
2016-09-26	15.964166666666666	2.2653333333333334	14.1925	87.33333333333333	0.4833333333333333	0.0	406.6	0.276	-20.75	-21.0	0.0373259536983856	0
2016-09-27	16.014333333333333	2.7820416666666667	14.179166666666667	87.875	0.1083333333333333	7.7	467.5	0.262	-20.75	-21.0	0.4401803492639276	0
2016-09-28	15.8905	4.795166666666667	13.58625	91.75	0.6	4.2	281.9	0.253	-20.75	-21.0	0.2390928392772781	0
2016-09-29	15.7069091796875	6.1120833333333335	13.055416666666666	89.70833333333333	0.7125	7.3	122.5	0.244	-20.75	-21.0	0.0060005310112075	0
2016-09-30	15.349666666666666	10.157375	13.296666666666669	60.79166666666666	0.0875	0.0	443.6	0.237	-20.75	-21.0	0.0084907173660403	0
2016-10-01	14.908666666666669	6.202208333333334	11.418333333333337	74.45833333333333	0.1583333333333333	0.0	437.6	0.245	-20.75	-21.0	0.0034124695429254	0
2016-10-02	14.7395	2.1650416666666668	8.863333333333333	86.41666666666667	0.4041666666666666	0.0	394.6	0.306	-20.75	-21.0	0.010396218636919	0
2016-10-03	14.44116497039795	3.889916666666666	8.609583333333333	82.91666666666667	0.1625	0.5	380.2	0.353	-20.75	-21.0	0.0563142537872488	0
2016-10-04	14.108833333333331	5.9344166666666665	8.690833333333334	75.625	0.2166666666666666	0.1	353.7	0.338	-20.75	-21.0	0.0319681791624235	0
2016-10-05	13.734333333333334	6.662458333333333	8.615416666666667	72.75	0.0833333333333333	0.0	416.7	0.321	-20.75	-21.0	0.0133968976262795	0
2016-10-06	13.410833333333334	5.120291666666667	8.585416666666667	79.29166666666667	0.4708333333333334	0.0	410.7	0.306	-20.75	-21.0	0.0098300860355901	0
2016-10-07	13.11	6.073916666666666	8.990833333333333	78.0	0.3833333333333333	0.0	252.2	0.292	-20.75	-21.0	0.0134725704186172	0
2016-10-08	12.746333333333332	6.846625	7.95	71.33333333333333	0.85	2.5	101.9	0.278	-20.75	-21.0	0.0085072383081198	0
2016-10-09	12.400833333333331	5.876625	8.38125	87.875	0.9208333333333334	0.0	136.4	0.266	-20.75	-21.0	0.007509206371605	0
2016-10-10	11.638754844665527	4.612541666666666	7.255	79.70833333333333	0.95	0.0	176.8	0.254	-20.75	-21.0	0.0095707442986108	0
2016-10-11	11.361491203308104	3.3981250000000003	7.50125	77.95833333333333	0.9666666666666668	0.0	122.1	0.243	-20.75	-21.0	0.0143660574843993	0
2016-10-12	11.789666666666667	2.6420833333333333	6.77375	81.25	0.9916666666666668	0.0	89.7	0.2329999999999999	-20.75	-21.0	0.0356842813368845	0
2016-10-13	11.5805	2.231666666666667	5.8116666666666665	80.41666666666667	1.0	0.0	116.9	0.223	-20.75	-21.0	0.0569287080301221	0
2016-10-14	10.685015678405762	1.9817083333333327	5.60625	82.5	1.0	0.0	145.1	0.213	-20.75	-21.0	0.0885997549755941	0
2016-10-15	11.238666666666669	3.039	6.285	84.29166666666667	1.0	0.0	75.1	0.204	-20.75	-21.0	0.0801689380609787	0
2016-10-16	11.021166666666666	3.4927083333333333	7.0225	77.16666666666667	1.0	0.0	64.52	0.196	-20.75	-21.0	0.0391402206265615	0
2016-10-17	10.846833333333334	2.35625	7.274583333333333	77.08333333333333	0.9583333333333334	0.0	86.1	0.188	-20.75	-21.0	0.0298802321547642	0
2016-10-18	10.671333333333337	2.5641666666666665	7.798333333333333	80.45833333333333	0.875	0.4000000000000001	260.4	0.18	-20.75	-21.0	0.042527195475467	0
2016-10-19	9.778937339782717	2.736541666666667	7.992916666666666	89.33333333333333	0.7791666666666667	0.0	77.43	0.173	-20.75	-21.0	0.0388979198153361	0
2016-10-20	10.325666666666669	3.5261666666666667	7.328749999999999	77.41666666666667	0.3208333333333333	0.0	177.5	0.167	-20.75	-21.0	0.0315231136877299	0
